rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
1,24-05-2005,367,130,26-05-2005,1,15-02-2006
2,24-05-2005,1525,459,28-05-2005,1,15-02-2006
3,24-05-2005,1711,408,01-06-2005,1,15-02-2006
4,24-05-2005,2452,333,03-06-2005,2,15-02-2006
5,24-05-2005,2079,222,02-06-2005,1,15-02-2006
6,24-05-2005,2792,549,27-05-2005,1,15-02-2006
7,24-05-2005,3995,269,29-05-2005,2,15-02-2006
8,24-05-2005,2346,239,27-05-2005,2,15-02-2006
9,25-05-2005,2580,126,28-05-2005,1,15-02-2006
10,25-05-2005,1824,399,31-05-2005,2,15-02-2006
11,25-05-2005,4443,142,02-06-2005,2,15-02-2006
12,25-05-2005,1584,261,30-05-2005,2,15-02-2006
13,25-05-2005,2294,334,30-05-2005,1,15-02-2006
14,25-05-2005,2701,446,26-05-2005,1,15-02-2006
15,25-05-2005,3049,319,03-06-2005,1,15-02-2006
16,25-05-2005,389,316,26-05-2005,2,15-02-2006
17,25-05-2005,830,575,27-05-2005,1,15-02-2006
18,25-05-2005,3376,19,31-05-2005,2,15-02-2006
19,25-05-2005,1941,456,31-05-2005,1,15-02-2006
20,25-05-2005,3517,185,27-05-2005,2,15-02-2006
21,25-05-2005,146,388,26-05-2005,2,15-02-2006
22,25-05-2005,727,509,26-05-2005,2,15-02-2006
23,25-05-2005,4441,438,29-05-2005,1,15-02-2006
24,25-05-2005,3273,350,27-05-2005,1,15-02-2006
25,25-05-2005,3961,37,27-05-2005,2,15-02-2006
26,25-05-2005,4371,371,31-05-2005,1,15-02-2006
27,25-05-2005,1225,301,30-05-2005,2,15-02-2006
28,25-05-2005,4068,232,26-05-2005,2,15-02-2006
29,25-05-2005,611,44,30-05-2005,2,15-02-2006
30,25-05-2005,3744,430,30-05-2005,1,15-02-2006
31,25-05-2005,4482,369,30-05-2005,1,15-02-2006
32,25-05-2005,3832,230,25-05-2005,1,15-02-2006
33,25-05-2005,1681,272,27-05-2005,1,15-02-2006
34,25-05-2005,2613,597,29-05-2005,2,15-02-2006
35,25-05-2005,1286,484,27-05-2005,2,15-02-2006
36,25-05-2005,1308,88,29-05-2005,1,15-02-2006
37,25-05-2005,403,535,29-05-2005,1,15-02-2006
38,25-05-2005,2540,302,01-06-2005,1,15-02-2006
39,25-05-2005,4466,207,31-05-2005,2,15-02-2006
40,25-05-2005,2638,413,27-05-2005,1,15-02-2006
41,25-05-2005,1761,174,02-06-2005,1,15-02-2006
42,25-05-2005,380,523,31-05-2005,2,15-02-2006
43,25-05-2005,2578,532,26-05-2005,2,15-02-2006
44,25-05-2005,3098,207,29-05-2005,2,15-02-2006
45,25-05-2005,1853,436,02-06-2005,2,15-02-2006
46,25-05-2005,3318,7,02-06-2005,2,15-02-2006
47,25-05-2005,2211,35,30-05-2005,1,15-02-2006
48,25-05-2005,1780,282,02-06-2005,1,15-02-2006
49,25-05-2005,2965,498,30-05-2005,2,15-02-2006
50,25-05-2005,1983,18,28-05-2005,2,15-02-2006
51,25-05-2005,1257,256,26-05-2005,1,15-02-2006
52,25-05-2005,4017,507,31-05-2005,2,15-02-2006
53,25-05-2005,1255,569,27-05-2005,2,15-02-2006
54,25-05-2005,2787,291,01-06-2005,2,15-02-2006
55,25-05-2005,1139,131,30-05-2005,1,15-02-2006
56,25-05-2005,1352,511,26-05-2005,1,15-02-2006
57,25-05-2005,3938,6,29-05-2005,2,15-02-2006
58,25-05-2005,3050,323,28-05-2005,1,15-02-2006
59,25-05-2005,2884,408,01-06-2005,1,15-02-2006
60,25-05-2005,330,470,30-05-2005,1,15-02-2006
61,25-05-2005,4210,250,02-06-2005,2,15-02-2006
62,25-05-2005,261,419,30-05-2005,1,15-02-2006
63,25-05-2005,4008,383,27-05-2005,1,15-02-2006
64,25-05-2005,79,368,03-06-2005,1,15-02-2006
65,25-05-2005,3552,346,29-05-2005,1,15-02-2006
66,25-05-2005,1162,86,29-05-2005,2,15-02-2006
67,25-05-2005,239,119,27-05-2005,2,15-02-2006
68,25-05-2005,4029,120,31-05-2005,2,15-02-2006
